<Fri Nov 20 00:06:26 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:06:51 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:06:59 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:23 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:26 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:27 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:32 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:37 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:45 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:49 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:49 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:51 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:07:53 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:08:03 2020> Gained 16,000 from Sly monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:08:05 2020> Gained 7,000 from Plain monkey | @Monkey Swamp 1 (162)
<Fri Nov 20 00:08:44 2020> Gained 20,000 from Spry monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:08:45 2020> Gained 16,000 from Sly monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:08:47 2020> Gained 16,000 from Sly monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:08:48 2020> Gained 20,000 from Spry monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:08:51 2020> Gained 16,000 from Sly monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:09:00 2020> Gained 16,000 from Sly monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:09:02 2020> Gained 16,000 from Sly monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:09:02 2020> Gained 20,000 from Spry monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:09:07 2020> Gained 20,000 from Spry monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:09:07 2020> Gained 16,000 from Sly monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:09:11 2020> Gained 20,000 from Spry monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:09:13 2020> Gained 20,000 from Spry monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:09:14 2020> Gained 20,000 from Spry monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:09:19 2020> Gained 16,000 from Sly monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:09:20 2020> Gained 20,000 from Spry monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:09:25 2020> Gained 16,000 from Sly monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:09:26 2020> Gained 20,000 from Spry monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:09:33 2020> PICKED UP: 1 Amber | @Monkey Blood 1 (166) | X: 10 Y: 12 | Ctrl + Comma
<Fri Nov 20 00:09:33 2020> PICKED UP: 1 Amber | @Monkey Blood 1 (166) | X: 10 Y: 12 | Ctrl + Comma
<Fri Nov 20 00:09:33 2020> PICKED UP: 1 Amber | @Monkey Blood 1 (166) | X: 10 Y: 12 | Ctrl + Comma
<Fri Nov 20 00:09:37 2020> Gained 16,000 from Sly monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:09:54 2020> Gained 20,000 from Spry monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:09:56 2020> Gained 20,000 from Spry monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:10:01 2020> Gained 16,000 from Sly monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:10:27 2020> Gained 16,000 from Sly monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:10:33 2020> Gained 16,000 from Sly monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:10:55 2020> Gained 16,000 from Sly monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:10:57 2020> Gained 20,000 from Spry monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:11:01 2020> Gained 16,000 from Sly monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:11:04 2020> Gained 20,000 from Spry monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:11:05 2020> Gained 20,000 from Spry monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:11:07 2020> PICKED UP: 1 Amber | @Monkey Blood 1 (166) | X: 21 Y: 16 | Ctrl + Comma
<Fri Nov 20 00:11:08 2020> Gained 16,000 from Sly monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:11:11 2020> Gained 20,000 from Spry monkey | @Monkey Blood 1 (166)
<Fri Nov 20 00:11:29 2020> Gained 23,000 from Ugly monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:11:33 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:11:35 2020> Gained 23,000 from Ugly monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:11:41 2020> Gained 23,000 from Ugly monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:11:45 2020> Gained 23,000 from Ugly monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:11:48 2020> Gained 23,000 from Ugly monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:11:58 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:12:04 2020> PICKED UP: 1 Amber | @Monkey Wasteland 1 (167) | X: 24 Y: 6 | Ctrl + Comma
<Fri Nov 20 00:12:23 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:12:30 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:12:31 2020> Gained 23,000 from Ugly monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:12:41 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:12:51 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:12:55 2020> Gained 23,000 from Ugly monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:12:58 2020> Gained 23,000 from Ugly monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:13:07 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:13:26 2020> Gained 23,000 from Ugly monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:13:43 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:13:50 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:13:50 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:13:56 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:13:57 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:13:57 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:14:13 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:14:23 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:14:39 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:14:43 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:14:49 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:14:54 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:14:57 2020> Gained 23,000 from Ugly monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:14:59 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:14:59 2020> PICKED UP: 1 Amber | @Monkey Wasteland 1 (167) | X: 10 Y: 13 | Ctrl + Comma
<Fri Nov 20 00:14:59 2020> PICKED UP: 2 Amber | @Monkey Wasteland 1 (167) | X: 10 Y: 13 | Ctrl + Comma
<Fri Nov 20 00:16:05 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:16:07 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:16:13 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:16:21 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:16:27 2020> PICKED UP: 1 Amber | @Monkey Wasteland 1 (167) | X: 12 Y: 9 | Ctrl + Comma
<Fri Nov 20 00:16:29 2020> Gained 23,000 from Ugly monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:16:31 2020> Gained 23,000 from Ugly monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:16:40 2020> Gained 20,000 from Spry monkey | @Monkey Wasteland 1 (167)
<Fri Nov 20 00:17:55 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:17:59 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:18:05 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:18:08 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:18:18 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:18:27 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:18:27 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:18:31 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:18:34 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:18:42 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:18:43 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:18:48 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:18:52 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:18:56 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:19:04 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:19:04 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:19:18 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:19:26 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:19:26 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:19:34 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:19:43 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:19:45 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:19:52 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:19:58 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:20:04 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:20:06 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:20:14 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:20:17 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:20:21 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:20:22 2020> PICKED UP: 1 Amber | @Monkey Divide 1 (168) | X: 13 Y: 23 | Ctrl + Comma
<Fri Nov 20 00:20:22 2020> PICKED UP: 1 Amber | @Monkey Divide 1 (168) | X: 13 Y: 23 | Ctrl + Comma
<Fri Nov 20 00:20:27 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:20:38 2020> PICKED UP: 1 Amber | @Monkey Divide 1 (168) | X: 18 Y: 19 | Comma
<Fri Nov 20 00:21:45 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:21:54 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:21:58 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:22:00 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:22:07 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:22:10 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:22:13 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:22:15 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:22:18 2020> PICKED UP: 1 Amber | @Monkey Divide 1 (168) | X: 18 Y: 19 | Ctrl + Comma
<Fri Nov 20 00:22:18 2020> PICKED UP: 1 Amber | @Monkey Divide 1 (168) | X: 18 Y: 19 | Ctrl + Comma
<Fri Nov 20 00:22:24 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:22:25 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:22:33 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:22:34 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:22:40 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:22:41 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:22:47 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:22:49 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:22:56 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:22:57 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:23:03 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:23:13 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:23:15 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:23:24 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:23:25 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:23:35 2020> PICKED UP: 1 Amber | @Monkey Divide 1 (168) | X: 18 Y: 19 | Ctrl + Comma
<Fri Nov 20 00:23:35 2020> PICKED UP: 1 Amber | @Monkey Divide 1 (168) | X: 18 Y: 19 | Ctrl + Comma
<Fri Nov 20 00:23:36 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
<Fri Nov 20 00:24:01 2020> Gained 24,150 from Ugly monkey | @Monkey Divide 1 (168)
