==== [Login] ==================================================================
 Edge has logged in ~ @Kugnae(0)
 33,813 gold.
 969,407,494 experience.
 0 karma.
 IP: 172.115.209.225
Date & Time : Fri Nov 20 00:41:37 2020
<Fri Nov 20 00:53:21 2020> Gained 376,676 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:53:24 2020> Gained 445,733 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:53:30 2020> Gained 364,121 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:53:54 2020> Gained 376,676 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:53:57 2020> Gained 364,121 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:53:59 2020> Gained 364,121 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:54:01 2020> Gained 445,733 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:54:03 2020> Gained 364,121 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:54:14 2020> Gained 364,121 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:54:18 2020> Gained 445,733 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:54:18 2020> Gained 376,676 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:54:23 2020> Gained 445,733 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:54:24 2020> Gained 445,733 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:54:31 2020> Gained 364,121 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:54:36 2020> Gained 376,676 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:54:38 2020> Gained 364,121 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:54:38 2020> Gained 376,676 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:54:44 2020> Gained 376,676 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:54:49 2020> Gained 445,733 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:54:50 2020> Gained 445,733 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:54:54 2020> Gained 364,121 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:54:56 2020> Gained 364,121 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:55:02 2020> Gained 376,676 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:55:04 2020> Gained 376,676 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:55:11 2020> LEVELED UP TO: 93 | @Final Rest 1 (237)
<Fri Nov 20 00:55:11 2020> Gained 376,676 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:55:13 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:55:18 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:55:19 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:55:27 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:55:28 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:55:29 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:55:46 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:55:53 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:55:55 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:55:59 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:56:04 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:56:07 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:56:09 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:56:12 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:56:20 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:56:23 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:56:32 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:56:35 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:56:37 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:56:40 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:56:40 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:56:48 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:56:49 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:56:52 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:56:55 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:56:58 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:56:59 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:57:06 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:57:12 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:57:13 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:57:17 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:57:17 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:57:21 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:57:23 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:57:49 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:57:51 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:57:52 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:57:54 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:58:03 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:58:12 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:58:42 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:59:08 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:59:11 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:59:12 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:59:22 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:59:23 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:59:23 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:59:26 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:59:36 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 00:59:41 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:59:53 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 00:59:54 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 00:59:54 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:00:04 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:00:10 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:00:17 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:00:21 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:00:29 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:00:32 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:00:35 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:00:39 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:00:49 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:00:52 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:01:02 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:01:09 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:01:12 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:01:15 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:01:17 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:01:27 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:01:33 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:01:39 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:01:44 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:01:50 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:01:53 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:01:54 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:02:01 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:02:01 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:02:08 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:02:12 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:02:15 2020> Gained 368,078 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:02:16 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:02:26 2020> Gained 450,578 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:02:30 2020> Gained 380,770 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:02:33 2020> Gained 429,122 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:02:35 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:02:40 2020> Gained 429,122 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:02:44 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:02:45 2020> Gained 350,551 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:02:47 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:02:52 2020> Gained 350,551 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:02:54 2020> Gained 429,122 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:02:54 2020> Gained 429,122 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:03:02 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:03:05 2020> Gained 429,122 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:03:06 2020> Gained 350,551 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:03:06 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:03:31 2020> Gained 350,551 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:03:42 2020> Gained 350,551 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:03:43 2020> Gained 429,122 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:03:46 2020> Gained 350,551 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:03:58 2020> Gained 429,122 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:00 2020> Gained 429,122 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:00 2020> Gained 350,551 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:02 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:04 2020> Gained 350,551 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:12 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:14 2020> Gained 350,551 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:21 2020> Gained 350,551 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:26 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:28 2020> Gained 350,551 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:30 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:37 2020> Gained 350,551 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:41 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:43 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:43 2020> Gained 429,122 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:49 2020> Gained 429,122 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:50 2020> Gained 429,122 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:51 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:54 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:54 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:55 2020> Gained 429,122 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:04:59 2020> Gained 429,122 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:05:02 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:05:11 2020> Gained 429,122 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:05:13 2020> Gained 429,122 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:05:25 2020> Gained 350,551 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:05:27 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:05:34 2020> Gained 350,551 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:05:34 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:05:39 2020> Gained 429,122 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:05:43 2020> Gained 350,551 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:05:43 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:05:44 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:05:56 2020> Gained 429,122 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:05:57 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:05:59 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:06:03 2020> Gained 350,551 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:06:08 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:06:09 2020> Gained 429,122 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:06:16 2020> Gained 362,638 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:06:18 2020> LEVELED UP TO: 94 | @Final Rest 1 (237)
<Fri Nov 20 01:06:18 2020> Gained 350,551 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:06:19 2020> Gained 366,538 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:06:21 2020> Gained 433,736 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:06:27 2020> Gained 354,321 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:06:29 2020> Gained 433,736 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:06:32 2020> Gained 366,538 from Radiant snake | @Final Rest 1 (237)
<Fri Nov 20 01:06:35 2020> Gained 354,321 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:06:45 2020> Gained 354,321 from Blood snake | @Final Rest 1 (237)
<Fri Nov 20 01:06:45 2020> Gained 433,736 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:06:51 2020> Gained 433,736 from Fire snake | @Final Rest 1 (237)
<Fri Nov 20 01:06:51 2020> Gained 433,736 from Fire snake | @Final Rest 1 (237)
